State,Project ID,Project title,Subgrantee,Community,Rich/white,FEMA $,FEMA share,Elevated homes,Multi-purpose,Multi-community,Multi-elevation
Florida,FMA-PJ-04FL-2000012,"Pinellas County, Fl, Project #1",Pinellas County *,St. Petersburg,,"$78,014",75%,1,,,
Florida,FMA-PJ-04FL-2000013,"City of Treasure Island, Project #1","Treasure Island, City Of",Treasure Island,x,"$86,145",75%,1,,,
Florida,FMA-PJ-04FL-2000014,"Madeira Beach, FL, Project #1","Madeira Beach, City Of",Madeira Beach,x,"$64,039",75%,1,,,
Florida,FMA-PJ-04FL-2000016,"Dunedin, Fla, Project #1","Dunedin, City Of",Dunedin,,"$69,770",75%,1,,,
Florida,FMA-PJ-04FL-2000017,"Dunedin, Fla, Project #2","Dunedin, City Of",Dunedin,,"$119,746",75%,1,,,
Florida,FMA-PJ-04FL-2000025,"City of Madeira Beach, Fl Project #4","Madeira Beach, City Of",Madeira Beach,x,"$91,055",75%,1,,,
Florida,FMA-PJ-04FL-2000027,"City of Madeira Beach, Fl Project #6","Madeira Beach, City Of",Madeira Beach,x,"$75,750",75%,1,,,
Florida,FMA-PJ-04FL-2000028,"City of St. Petersburg, FL Project #2","St. Petersburg, City Of",St. Petersburg,,"$141,259",75%,1,,,
Florida,FMA-PJ-04FL-2001009,"Madeira Beach, Florida Project #1","Madeira Beach, City Of",Madeira Beach,x,"$123,853",75%,1,,,
Florida,FMA-PJ-04FL-2001010,"Madeira Beach, Florida Project #2","Madeira Beach, City Of",Madeira Beach,x,"$66,638",75%,0,,,
Florida,FMA-PJ-04FL-2001013,"Madeira Beach, Florida Project #5","Madeira Beach, City Of",Madeira Beach,x,"$98,912",75%,1,,,
Florida,FMA-PJ-04FL-2001016,"Escambia County, Fla Project #3",Escambia County*,Pensacola,,"$65,813",75%,1,,,
Florida,FMA-PJ-04FL-2001020,City of Bradenton Project #2,"Bradenton, City Of",Bradenton,,"$120,000",75%,1,,,
Florida,FMA-PJ-04FL-2001022,Volusia County Florida Project #1,Volusia County*,Ormond Beach,,"$150,000",75%,1,,,
Florida,FMA-PJ-04FL-2001023,Volusia CountyFlorida Project #2,Volusia County*,Ormond Beach,,"$191,547",75%,1,,,
Florida,FMA-PJ-04FL-2001025,City of Bradenton Florida Project #3,"Bradenton, City Of",Bradenton,,"$93,750",75%,1,,,
Florida,FMA-PJ-04FL-2001026,"City of Bradenton, FL Project #4","Bradenton, City Of",Bradenton,,"$77,178",75%,1,,,
Florida,FMA-PJ-04FL-2001027,Seminole County Florida Elevation Project,Seminole County*,,,"$145,725",75%,0,,,
Florida,FMA-PJ-04FL-2001028,Milton Florida Elevation Project,"Milton, City Of",Milton,,"$72,469",75%,1,,,
Florida,FMA-PJ-04FL-2001029,City of Port Richey Elevation Project,"Port Richey, City Of",Port Richey,x,"$78,000",75%,1,,,
Florida,FMA-PJ-04FL-2001031,"Santa Rosa County, Florida Project #1",Santa Rosa County *,Milton,,"$69,085",75%,1,,,
Florida,FMA-PJ-04FL-2003002,"Key West, Florida, Project #1 (Tranfer from 2002002 (CR))","Key West, City Of",Key West,,"$108,791",75%,1,,,
Florida,FMA-PJ-04FL-2003006,Hillsborough County Modified Elevation Project,Hillsborough County*,Ruskin,,"$130,669",75%,1,,,
Florida,FMA-PJ-04FL-2003012,Escambia County Elevation,Escambia County*,Pensacola,,"$118,077",75%,1,,,
Florida,FMA-PJ-04FL-2003013,Clay County Elevation,Clay County *,Middleburg,,"$83,622",75%,1,,,
Florida,FMA-PJ-04FL-2003015,Clay County Elevation - Enchanted Lane,,Middleburg,,"$66,904",75%,1,,,
Florida,FMA-PJ-04FL-2003017,Clay County Elevation,Clay County *,Middleburg,,"$85,702",75%,1,,,
Florida,FMA-PJ-04FL-2003019,Sarasota Elevation Island Circle,Sarasota County *,Sarasota,,"$280,329",75%,1,,,
Florida,FMA-PJ-04-FL-2004-002,City of Port Richey - Waterside Elevation Project,City of Port Richey,Port Richey,x,"$197,175",75%,1,,,
Florida,FMA-PJ-04-FL-2004-003,City of Port Richey - Miles Blvd elevation project,Department of Community Affairs,Port Richey,x,"$127,480",75%,1,,,
Florida,FMA-PJ-04-FL-2004-004,Yankeetown Elevation- Riverside Avenue,Yankeetown,Yankeetown,x,"$181,285",75%,1,,,
Florida,FMA-PJ-04-FL-2004-005,Pasco County Elevation- Udell Lane,Pasco County Government,Hudson,,"$90,254",75%,1,,,
Florida,FMA-PJ-04-FL-2004-012,"town of fort myers beach, Property Elevation Project",town of fort myers beach,Fort Myers Beach,x,"$132,374",75%,1,,,
Florida,FMA-PJ-04-FL-2004-014,City of Bradenton Flood Mitigation Project,Bradenton,Bradenton,,"$131,966",75%,1,,,
Florida,FMA-PJ-04-FL-2004-018,Town of Redington Beach 2004 Flood Mitigation Project # 1 - Residence,"Town of Redington Beach, Inc.",Redington Beach,x,"$182,325",75%,1,,,
Florida,FMA-PJ-04-FL-2004-019,Elevation Project,Dixie County Emergency Management,Horseshoe Beach,x,"$124,425",75%,1,,,
Florida,FMA-PJ-04-FL-2004-021,Redington Shores Elevation Project - B,Town of Redington Shores,Redington Shores,x,"$205,071",75%,1,,,
Florida,FMA-PJ-04-FL-2004-024,Hillsborough County Florida Modified Elevation Project #2,Hillsborough County,Tampa,,"$108,542",75%,1,,,
Florida,FMA-PJ-04-FL-2004-025,Sarasota; Brentwood Dr; Flood Mitigation Project,Sarasota County Government,Venice,x,"$55,275",75%,1,,,
Florida,FMA-PJ-04-FL-2004-031,Sarasota; Brentwood Dr; Flood Mitigation Project,Sarasota County Government,Venice,x,"$111,788",75%,1,,,
Florida,FMA-PJ-04-FL-2004-039,Town of Inglis Modified Elevation,Department of Community Affairs,Inglis,x,"$258,000",75%,1,,,
Florida,FMA-PJ-04-FL-2004-040,"City of St. Petersburg, FL Flood Mitigation Assistance",City of St. Petersburg,St. Petersburg,,"$163,388",75%,1,,,
Florida,FMA-PJ-04-FL-2004-041,Modified Elevation for the City of Holmes Beach,Holmes Beach,Holmes Beach,x,"$255,974",75%,1,,,
Florida,FMA-PJ-04-FL-2004-043,"Palermo Circle, Fort Myers Beach",Town of Fort Myers Beach,Fort Myers Beach,x,"$113,127",75%,1,,,
Florida,FMA-PJ-04-FL-2004-044,City of New Port Richey Modified Elevation Project,City of New Port Richey,New Port Richey,,"$128,995",75%,1,,,
Florida,FMA-PJ-04-FL-2004-045,Volusia County Flood Mitigation Assistance Project III,Volusia County,Ormond Beach,,"$145,481",75%,1,,,
Florida,FMA-PJ-04-FL-2005-004,City of Jacksonville Residential Retrofit Rhode Island,City of Jacksonville,Jacksonville,,"$236,053",75%,1,,,
Florida,FMA-PJ-04-FL-2005-007,City of Jacksonville Residential Retrofit Targeted Rptv. Loss,City of Jacksonville,Jacksonville,,"$340,729",75%,1,,,
Florida,FMA-PJ-04-FL-2005-009,City of Madeira Beach Modified Elevation,City of Madeira Beach - Modified Elevation,Madeira Beach,x,"$234,386",75%,1,,,
Florida,FMA-PJ-04-FL-2005-010,City of Dunedin Flood Mitigation Project,City of Dunedin,Dunedin,,"$331,183",75%,1,,,
Florida,FMA-PJ-04-FL-2005-014,City of Bradenton Mitigation Project,Bradenton,Bradenton,,"$157,124",75%,1,,,
Florida,FMA-PJ-04-FL-2005-016,City of Bradenton Mitigation Project,Bradenton,Bradenton,,"$194,983",75%,1,,,
Florida,FMA-PJ-04-FL-2005-017,Port Richey 2nd Story conversion,City of Port Richey,Port Richey,x,"$164,875",75%,1,,,
Florida,FMA-PJ-04-FL-2005-018,Port Richey 2nd Story conversion,City of Port Richey,Port Richey,x,"$162,975",75%,1,,,
Florida,FMA-PJ-04-FL-2005-019,Port Richey 2nd story conversion,City of Port Richey,Port Richey,x,"$194,513",75%,1,,,
Florida,FMA-PJ-04-FL-2005-020,Port Richey 2nd Story conversion,City of Port Richey,Port Richey,x,"$188,588",75%,1,,,
Florida,FMA-PJ-04-FL-2005-021,Port Richey 2nd Story Conversion,City of Port Richey,Port Richey,x,"$196,166",75%,1,,,
Florida,FMA-PJ-04-FL-2005-022,Port Richey 2nd Story Conversion,City of Port Richey,Port Richey,x,"$202,235",75%,1,,,
Florida,FMA-PJ-04-FL-2006-003,City of Port Richey - Carolyn Drive -Mitigation Project,City of Port Richey,Port Richey,x,"$200,702",75%,1,,,
Florida,FMA-PJ-04-FL-2006-004,City of Lynn Haven Residence Elevation - Carolina Avenue,City of Lynn Haven,Lynn Haven,,"$191,567",75%,1,,,
Florida,FMA-PJ-04-FL-2006-005,Port Richey - Miles Blvd - Mitigation Project,City of Port Richey,Port Richey,x,"$224,928",75%,1,,,
Florida,FMA-PJ-04-FL-2006-008,Port Richey - Hayward Ln - Mitigation Project,City of Port Richey,Port Richey,x,"$225,486",75%,1,,,
Florida,FMA-PJ-04-FL-2006-012,Port Richey - Bay Park - Mitigation Project,City of Port Richey,Port Richey,x,"$290,430",75%,1,,,
Florida,FMA-PJ-04-FL-2006-013,Port Richey - Berlin Dr - Mitigation Project,City of Port Richey,Port Richey,x,"$159,730",75%,1,,,
Florida,FMA-PJ-04-FL-2006-015,Port Richey - Hayward Ln - Mitigation Project,City of Port Richey,Port Richey,x,"$232,953",75%,1,,,
Florida,FMA-PJ-04-FL-2006-016,Port Richey - Sunset Blvd - Mitigation Project,City of Port Richey,Port Richey,x,"$273,932",75%,1,,,
Florida,FMA-PJ-04-FL-2006-020,City of Lynn Haven Residence Elevation - Missouri Avenue,City of Lynn Haven,Lynn Haven,,"$161,997",75%,1,,,
Florida,FMA-PJ-04-FL-2006-026,Madeira Beach - Bay Point Drive - 2nd story conversion,City of Madeira Beach,Madeira Beach,x,"$189,217",75%,1,,,
Florida,FMA-PJ-04-FL-2006-028,Madeira Beach - Bay Point Drive - 2nd story conversion,City of Madeira Beach,Madeira Beach,x,"$205,818",75%,1,,,
Florida,FMA-PJ-04-FL-2006-029,Madeira Beach - Pruitt Drive,City of Madeira Beach,Madeira Beach,x,"$343,262",75%,1,,,
Florida,FMA-PJ-04-FL-2006-030,Madeira Beach - Lillian Drive - 2nd story conversion,City of Madeira Beach,Madeira Beach,x,"$163,478",75%,1,,,
Florida,FMA-PJ-04-FL-2006-031,Madeira Beach Vivian Drive - 2nd story conversion,City of Madeira Beach,Madeira Beach,x,"$150,452",75%,1,,,
Florida,FMA-PJ-04-FL-2006-034,Town of Fort Myers Beach Flood Mitigation Application,town of fort myers beach,Fort Myers Beach,x,"$72,447",75%,1,,,
Florida,FMA-PJ-04-FL-2006-035,Port Richey - Bay Blvd - Mitigation Project,City of Port Richey,Port Richey,x,"$197,320",75%,1,,,
Florida,FMA-PJ-04-FL-2006-039,Madeira Beach- N Bayshore -,City of Madeira Beach,Madeira Beach,x,"$163,800",75%,1,,,
Florida,FMA-PJ-04-FL-2007-001,FY '07 Volusia County FMA Elevation & Retrofit Shockney Drive Ormond Beach,Volusia County,Ormond Beach,,"$277,505",75%,1,,,
Florida,FMA-PJ-04-FL-2007-002,Sarasota; Elliott St; FMA - Elevation,Sarasota County Government,Venice,x,"$105,919",75%,1,,,
Florida,FMA-PJ-04-FL-2007-003,Madeira Bch 2007 - Bay Point Dr,City of Madeira Beach,Madeira Beach,x,"$256,890",75%,1,,,
Florida,FMA-PJ-04-FL-2007-004,City of Bradenton Flood Mitigation Project 20th Street W,Bradenton,Bradenton,,"$127,575",75%,1,,,
Florida,FMA-PJ-04-FL-2007-006,2007 City of Dunedin Flood Mitigation Assistance Program B,City of Dunedin,Dunedin,,"$228,571",75%,1,,,
Florida,FMA-PJ-04-FL-2007-011,FMA 2007- Holmes Beach- Second Story Conversion,Holmes Beach,Holmes Beach,x,"$188,081",75%,1,,,
Florida,FMA-PJ-04-FL-2007-019,Crystal River FMA07,City of Crystal River,Crystal River,,"$213,074",75%,1,,,
Florida,FMA-PJ-04-FL-2008-006,Clark Street - Elevation,Pasco County Board of County Commissioners,Hudson,x,"$237,901",63%,1,,,
Florida,FMA-PJ-04-FL-2008-008,Bayshore - 2008,City of Madeira Beach,Madeira Beach,x,"$167,580",75%,1,,,
Florida,FMA-PJ-04-FL-2008-009,N Bayshore - 2008,City of Madeira Beach,Madeira Beach,x,"$163,800",75%,1,,,
Florida,FMA-PJ-04-FL-2008-010,Jenks Avenue Drainage Improvement Project,Bay County Commissioners,Lynn Haven,,"$447,573",75%,1,,,
Florida,FMA-PJ-04-FL-2008-011,Elevation Callaway,City of Callaway,Callaway,,"$87,000",75%,1,,,
Florida,FMA-PJ-04-FL-2008-013,City of Miami- Elevation_,Miami-Dade County,Miami,,"$188,400",75%,1,,,
Florida,FMA-PJ-04-FL-2008-020,Elevation Shockney Dr Ormond Beach Fl,Volusia County,Ormond Beach,,"$669,055",75%,3,,,
Florida,FMA-PJ-04-FL-2009-001,Santa Rosa County SRL elevations,Santa Rosa County,Gulf Breeze,x,"$149,393",90%,1,,x,
Florida,FMA-PJ-04-FL-2009-001,Santa Rosa County SRL elevations,Santa Rosa County,Milton,,"$149,393",90%,1,,x,
Florida,FMA-PJ-04-FL-2009-005,Elevation FMA - Seminole County,"Seminole County, Florida",Geneva,x,"$244,125",75%,1,,,
Florida,FMA-PJ-04-FL-2009-007,City of Ormond Beach FMA Elevation and Retrofit Cumberland Avenue,City of Ormond Beach,Ormond Beach,,"$162,383",75%,1,,,
Florida,FMA-PJ-04-FL-2009-008,Arrowhead Trail Enterprise Fl FMA,Volusia County Emergency Management Division,Enterprise,,"$129,038",75%,1,,,
Florida,FMA-PJ-04-FL-2010-003,Volusia County Elevation Project Stone Trail Enterprise Fl,Volusia County Emergency Management Division,Enterprise,,"$161,374",75%,1,,,
Florida,FMA-PJ-04-FL-2010-009,Town of Sewalls Point-Standard Elevation,Town of Sewall's Point,Sewall's Point,x,"$75,308",75%,1,,,
Florida,FMA-PJ-04-FL-2013-002,FY 2013 FMA - Hillsborough - Retrofit,Hillsborough County,Ruskin,,"$2,688",100%,1,,,
Florida,FMA-PJ-04-FL-2013-003,"Demolition and Reconstruction Project Oldsmar, FL","City of Oldsmar, FL",Oldsmar,,"$233,453",61%,1,,,
Florida,FMA-PJ-04-FL-2013-006,SANTA ROSA COUNTY 2013/2014 SRL ELEVATION,Santa Rosa County,Milton,,"$171,000",100%,1,,,
Florida,FMA-PJ-04-FL-2013-020,SRIA 2013 FMA Mit/Recon,Santa Rosa Island Authority,Pensacola Beach,x,"$1,429,890",65%,9,,,
Florida,FMA-PJ-04-FL-2013-021,SRIA 2013 FMA Elevation Application - L:argo Dr.,Santa Rosa Island Authority,Pensacola Beach,x,"$183,563",100%,1,,,
Florida,FMA-PJ-04-FL-2013-037,ElevationHilltopAv,Bay County Commissioners,Panama City,,"$5,022",100%,1,,,
Florida,FMA-PJ-04-FL-2013-044,Madeira Beach SRL Mit/Recon for Bay Point Dr,CITY OF MADEIRA BEACH,Madeira Beach,x,"$195,180",25%,1,,,
Florida,FMA-PJ-04-FL-2013-049,Demo/Recon for Riverview FL Parkway,Florida Division of Emergency Management,Riverview,,"$164,583",91%,1,,,
Florida,FMA-PJ-04-FL-2014-003,Mitigation Reconstruction,Town of Redington Beach,Redington Beach,x,"$1,259,167",60%,6,,,
Florida,FMA-PJ-04-FL-2014-006,2014 Madeira Beach Mitigation Reconstruction Project,City of Madeira Beach,Madeira Beach,x,"$1,518,243",60%,7,,,
Florida,FMA-PJ-04-FL-2014-012,Santa Rosa Co 2014 SRL Elevation Project,Santa Rosa County,Gulf Breeze,x,"$173,350",100%,1,,x,
Florida,FMA-PJ-04-FL-2014-012,Santa Rosa Co 2014 SRL Elevation Project,Santa Rosa County,Milton,,"$173,350",100%,1,,x,
Florida,FMA-PJ-04-FL-2014-012,Santa Rosa Co 2014 SRL Elevation Project,Santa Rosa County,Pace,,"$173,350",100%,1,,x,
Florida,FMA-PJ-04-FL-2014-016,Redington Beach Second Story Conversion and Mitigation Reconstruction,Town of Redington Beach,Redington Beach,x,"$672,718",64%,3,,,
Florida,FMA-PJ-04-FL-2014-021,City of St. Petersburg Shore Acres Mitigation Reconstruction Project,City of St. Petersburg,St. Petersburg,,"$1,097,784",70%,5,,,
Florida,FMA-PJ-04-FL-2014-022,City of St. Petersburg Shore Acres Elevation Project,City of St. Petersburg,St. Petersburg,,"$169,293",97%,1,,,
Florida,FMA-PJ-04-FL-2014-025,Escambia County Mitigation Reconstruction Application,Escambia County,Pensacola,,"$543,458",48%,3,,,
Florida,FMA-PJ-04-FL-2015-006,St. Petersburg Elevation Project,City of St. Petersburg,St. Petersburg,,"$2,749",100%,2,,,
Florida,FMA-PJ-04-FL-2015-007,Santa Rosa County 2015 SRL Elevation,Santa Rosa County,Gulf Breeze,x,"$298,285",100%,1,,,
Florida,FMA-PJ-04-FL-2015-008,Santa Rosa County 2015 FMA Elevations,Santa Rosa County,,,"$426,346",90%,0,,,
Florida,FMA-PJ-04-FL-2015-013,SRIA 2015 Elevation Application,Santa Rosa Island Authority,Gulf Breeze,x,"$255,044",97%,1,,x,
Florida,FMA-PJ-04-FL-2015-013,SRIA 2015 Elevation Application,Santa Rosa Island Authority,Pensacola Beach,x,"$2,295,396",97%,9,,x,
Florida,FMA-PJ-04-FL-2015-017,Santa Rosa County 2015 RL Elevation,Santa Rosa County,Navarre,,"$147,496",90%,1,,,
Florida,FMA-PJ-04-FL-2015-020,Escambia County Elevation Project,Escambia County,Pensacola,,"$311,479",90%,3,,,
Florida,FMA-PJ-04-FL-2016-006,Okaloosa County Home Elevation,Okaloosa County,,,"$157,499",90%,0,,,
Florida,FMA-PJ-04-FL-2016-009,Santa Rosa County SRL,Santa Rosa County,Gulf Breeze,x,"$264,116",100%,1,,,
Florida,FMA-PJ-04-FL-2016-010,SRIA 2016 2 SRL elevation project,Santa Rosa Island Authority,Pensacola Beach,x,"$583,975",100%,0,,,
Florida,FMA-PJ-04-FL-2016-013,City of Key West 2016 Reconstruction Projects,City of Key West Florida,Key West,,"$222,698",83%,2,,,
Florida,FMA-PJ-04-FL-2017-004,FY 2017 FMA-Mitigation Reconstruction #2,Pasco County BOCC,Port Richey,x,"$232,656",75%,1,,,
Florida,FMA-PJ-04-FL-2017-011,Yankeetown Elevation of SRL at Magnolia Ave.,"Town of Yankeetown, FL",Yankeetown,x,"$2,000",100%,1,,,
Florida,FMA-PJ-04-FL-2017-014,St. Petersburg - Residential Flood Mitigation,City of St. Petersburg,St. Petersburg,,"$204,537",100%,1,,,
Florida,FMA-PJ-04-FL-2017-015,St. Petersburg - Residential Flood Mitigation,City of St. Petersburg,St. Petersburg,,"$215,060",100%,1,,,
Florida,FMA-PJ-04-FL-2017-016,St. Petersburg - Residential Flood Mitigation,City of St. Petersburg,St. Petersburg,,"$291,473",100%,1,,,
Florida,FMA-PJ-04-FL-2017-018,Yankeetown Elevation of RL Magnolia,"Town of Yankeetown, FL",Yankeetown,x,"$192,957",62%,1,,,
Florida,FMA-PJ-04-FL-2018-006,FMA-FY19 Clay County Elevation #1,Clay County Board of County Commissioners,Middleburg,,"$149,362",90%,1,,,
Florida,FMA-PJ-04-FL-2018-008,Pasco County Elevation #1,Pasco County BOCC,Port Richey,x,"$162,225",100%,1,,,
Florida,FMA-PJ-04-FL-2018-009,FMA FL-2019-059 FY19 City of Jacksonville Mitigation Reconstruction of RL Home,City of Jacksonville,Jacksonville,,"$175,592",84%,1,,,
Florida,FMA-PJ-04-FL-2018-012,Santa Rosa County FY 2018 FMA - Elevation of SRL Homes within SFHA,Santa Rosa County,Gulf Breeze,x,"$595,460",100%,2,,,
Florida,FMA-PJ-04-FL-2018-020,FY2019 FMA Mitigation-Reconstruction,Monroe County Board of County Commissioners,Key Largo,,"$305,123",51%,2,,x,
Florida,FMA-PJ-04-FL-2018-020,FY2019 FMA Mitigation-Reconstruction,Monroe County Board of County Commissioners,Marathon,,"$152,562",51%,1,,x,
Florida,FMA-PJ-04-FL-2019-012,FY2019 FMA-Pasco County-Deedra Cir Elevation,Pasco County BOCC,Port Richey,x,"$121,939",75%,1,,,
Florida,PDMC-PJ-04-FL-2003-077,Volusia Elevation Cunningham Drive,City of New Smyrna Beach,New Smyrna Beach,x,"$52,613",75%,1,,,
Florida,RFC-PJ-04-FL-2008-005,FY08-RFC-City of Lynn Haven Elevation of Kentucky Ave,City of Lynn Haven,Lynn Haven,,"$194,000",100%,1,,,
Florida,RFC-PJ-04-FL-2008-006,City of New Port Richey - Flood Mitigation,City of New Port Richey,New Port Richey,,"$494,079",100%,1,,,
Florida,RFC-PJ-04-FL-2010-004,Volusia County Shockney Dr Elevation Project,Volusia County,Ormond Beach,,"$310,200",100%,1,,,
Florida,RFC-PJ-04-FL-2010-008,Town of Sewalls Point-Standard Elevation,Town of Sewall's Point,Sewall's Point,x,"$303,990",100%,1,,,
Florida,RFC-PJ-04-FL-2010-009,Town of Sewalls Point-Standard Elevation,Town of Sewall's Point,Sewall's Point,x,"$330,040",100%,1,,,
Florida,RFC-PJ-04-FL-2010-010,Town of Sewalls Point-Standard Elevation,Town of Sewall's Point,Sewall's Point,x,"$317,210",100%,1,,,
Florida,RFC-PJ-04-FL-2010-011,Town of Sewalls Point-Standard Elevation,Town of Sewall's Point,Sewall's Point,x,"$194,380",100%,1,,,
Florida,RFC-PJ-04-FL-2010-012,Town of Sewalls Point-Standard Elevation,Town of Sewall's Point,Sewall's Point,x,"$259,850",100%,1,,,
Florida,RFC-PJ-04-FL-2010-013,Town of Sewalls Point-Standard Elevation,Town of Sewall's Point,Sewall's Point,x,"$243,360",100%,1,,,
Florida,RFC-PJ-04-FL-2010-015,Town of Sewalls Point-Standard Elevation,Town of Sewall's Point,Sewall's Point,x,"$344,450",100%,1,,,
Florida,RFC-PJ-04-FL-2010-016,Town of Sewalls Point-Standard Elevation,Town of Sewall's Point,Sewall's Point,x,"$341,310",100%,1,,,
Florida,RFC-PJ-04-FL-2010-019,Town of Sewalls Point-Standard Elevation,Town of Sewall's Point,Sewall's Point,x,"$240,210",100%,1,,,
Florida,RFC-PJ-04-FL-2010-020,Town of Sewalls Point-Standard Elevation,Town of Sewall's Point,Sewall's Point,x,"$306,720",100%,1,,,
Florida,RFC-PJ-04-FL-2012-003,Seminole Drive Ormond Beach Fl elevation project,Volusia County,Ormond Beach,,"$305,000",100%,1,,,
Florida,SRL-PJ-04-FL-2008-003,City of Jacksonville W. 4th Street Mitigation Reconstruction Project,City of Jacksonville,Jacksonville,,"$148,584",90%,1,,,
Florida,SRL-PJ-04-FL-2008-004,St. Lucie County SRL Mitigation - Elevation Home,St. Lucie County Board of County Commissioners,Jensen Beach,,"$84,352",90%,1,,,
Florida,SRL-PJ-04-FL-2008-005,St. Lucie County SRL Mitigation - Elevation Home,St. Lucie County Board of County Commissioners,Jensen Beach,,"$64,040",90%,1,,,
Florida,SRL-PJ-04-FL-2008-007,"SRL - Home Elevation Madeira Beach, FL",CITY OF MADEIRA BEACH,Madeira Beach,x,"$188,100",90%,1,,,
Florida,SRL-PJ-04-FL-2008-008,St. Lucie County SRL Mitigation - Elevation Home,St. Lucie County Board of County Commissioners,Fort Pierce,,"$300,027",90%,1,,,
Florida,SRL-PJ-04-FL-2008-012,St. Lucie County SRL Mitigation - Elevation Home,St. Lucie County Board of County Commissioners,Fort Pierce,,"$191,472",90%,1,,,
Florida,SRL-PJ-04-FL-2008-013,Island Circle Elevation,Sarasota County Government,Sarasota,,"$153,996",90%,1,,,
Florida,SRL-PJ-04-FL-2008-015,Sarasota County Modified Elevation Island Circle,Sarasota County,Sarasota,,"$259,426",90%,1,,,
Florida,SRL-PJ-04-FL-2008-016,Hilslborough County Mitigation Reconstruction - SRL 1 -,Hillsborough County,Tampa,,"$158,026",90%,1,,,
Florida,SRL-PJ-04-FL-2008-017,City of Bradenton - Severe Repetitive Loss,Bradenton,Bradenton,,"$325,944",90%,1,,,
Florida,SRL-PJ-04-FL-2008-019,Elevation Dixon Road Venice,Sarasota County,Venice,x,"$66,059",90%,1,,,
Florida,SRL-PJ-04-FL-2008-020,SRL,City of Treasure Island,Treasure Island,x,"$295,800",90%,1,,,
Florida,SRL-PJ-04-FL-2008-021,Santa Rosa Island Authority SRL Rio Vista Drive,Santa Rosa Island Authority,Pensacola Beach,x,"$149,292",90%,1,,,
Florida,SRL-PJ-04-FL-2008-024,"Monroe County Repetitive Loss Mitigation Project, Monroe County, Florida",Monroe County Emergency Management,Saddlebunch Keys,,"$149,479",90%,1,,,
Florida,SRL-PJ-04-FL-2008-025,Monroe County Repetitive Loss Grant -,Monroe County Emergency Management,Key Largo,,"$170,862",71%,1,,,
Florida,SRL-PJ-04-FL-2008-026,Severe Repetitive Loss - NE 2nd Street - Elevation,City of Hallandale Beach,Hallandale Beach,,"$219,760",90%,1,,,
Florida,SRL-PJ-04-FL-2008-028,Elevation Palm Drive Venice,Sarasota County,Venice,x,"$121,176",90%,1,,,
Florida,SRL-PJ-04-FL-2008-029,"Santa Rosa Island Authority, Ensenada Uno",Santa Rosa Island Authority,Pensacola Beach,x,"$178,459",90%,1,,,
Florida,SRL-PJ-04-FL-2008-030,Santa Rosa Island Authority - SRL08-2,Santa Rosa Island Authority,Pensacola Beach,x,"$165,645",90%,1,,,
Florida,SRL-PJ-04-FL-2008-031,Maimi Dade Application - SRL8-02,Miami Dade County,Miami,,"$446,526",90%,1,,,
Florida,SRL-PJ-04-FL-2009-003,City of Jacksonville Martha Ann Dr. Mitigation Reconstruction Project,City of Jacksonville,Jacksonville,,"$263,126",90%,1,,,
Florida,SRL-PJ-04-FL-2009-005,Stone Trail Enterprise Fl Mitigation Reconstruction,Volusia County,Enterprise,,"$167,163",55%,1,,,
Florida,SRL-PJ-04-FL-2009-020,Elevation of Ganyard Street,Charlotte County Emergency Management,Port Charlotte,,"$137,838",90%,1,,,
Florida,SRL-PJ-04-FL-2009-021,SRL2009 Manatee County Mitigation Project,Manatee County Government,Terra Ceia,,"$443,573",90%,1,,,
Florida,SRL-PJ-04-FL-2010-001,Suwannee County Mitigation Project,Suwannee County Emergency Management,Live Oak,,"$76,041",90%,1,,,
Florida,SRL-PJ-04-FL-2010-008,Santa Rosa Island Authority SRL Corto Drive,Santa Rosa Island Authority,Pensacola Beach,x,"$147,596",90%,1,,,
Florida,SRL-PJ-04-FL-2010-012,Gilchrist County- Mitigation Reconstruction,Gilchrist County,Branford,,"$133,501",90%,1,,,
Florida,SRL-PJ-04-FL-2010-015,2011 SRL Elevation Project,City of Jacksonville,Jacksonville,,"$453,304",90%,1,,,
Florida,SRL-PJ-04-FL-2011-002,Santa Rosa County SRL 2011 - 5 Elevations,Santa Rosa County,Gulf Breeze,x,"$901,193",90%,5,,,
Florida,SRL-PJ-04-FL-2012-002,2012 SRL - SRIA Elevation Application - 8 homes,Santa Rosa Island Authority,Pensacola Beach,x,"$1,526,680",90%,8,,,
Georgia,DR-1020-0004-R,Mt Village Flood Hazard Mitigation Project,Chickamauga,Chickamauga,x,"$414,295",75%,27,,,
Georgia,DR-1033-0195-R,Acquisition/Elevation - Dougherty County,Dougherty County,Albany,,"$450,026",71%,4,x,,
Georgia,DR-1033-0196-R,Savannah Area Flood Elimination-Acquisition/Elevation,Savannah,Savannah,,"$172,466",75%,7,x,,
Georgia,DR-1033-0199-R,LEE COUNTY ACQUISITION/ELEVATION PROJECT,Lee County,Leesburg,,"$72,783",74%,1,x,,
Georgia,DR-1033-0201-R,MILL VILLAGE FLOOD HAZARD MITIGATION PROJECT,Chickamauga,Chickamauga,x,"$758,111",75%,25,x,,
Georgia,DR-1071-0005-R,Carroll Drive Mitigation Project,Catoosa County,Fort Oglethorpe,,"$6,368",27%,1,x,x,
Georgia,DR-1071-0005-R,Carroll Drive Mitigation Project,Catoosa County,Ringgold,,"$133,719",27%,21,x,x,
